species,order,suborder,sound
Acheta domesticus,Orthoptera,Ensifera,Stridulation
Acrida ungarica mediterranea,Orthoptera,Caelifera,No
Acrometopa italica,Orthoptera,Ensifera,Stridulation
Acrotylus braudi,Orthoptera,Caelifera,Unknown
Acrotylus fischeri,Orthoptera,Caelifera,Unknown
Acrotylus insubricus braudi,Orthoptera,Caelifera,Unknown
Acrotylus insubricus insubricus,Orthoptera,Caelifera,Unknown
Acrotylus patruelis,Orthoptera,Caelifera,Unknown
Aeropedellus variegatus variegatus,Orthoptera,Caelifera,Stridulation
Aiolopus puissanti,Orthoptera,Caelifera,Wing rattle
Aiolopus strepens,Orthoptera,Caelifera,Wing rattle
Aiolopus thalassinus corsicus,Orthoptera,Caelifera,Wing rattle
Aiolopus thalassinus thalassinus,Orthoptera,Caelifera,Wing rattle
Amedegnatiana vicheti,Orthoptera,Ensifera,Stridulation
Anacridium aegyptium,Orthoptera,Caelifera,Wing rattle
Anonconotus alpinus,Orthoptera,Ensifera,Stridulation
Anonconotus apenninigenus,Orthoptera,Ensifera,Unknown
Anonconotus baracunensis,Orthoptera,Ensifera,Stridulation
Anonconotus ghilianii,Orthoptera,Ensifera,Stridulation
Anonconotus ligustinus,Orthoptera,Ensifera,Stridulation
Anonconotus mercantouri,Orthoptera,Ensifera,Stridulation
Anonconotus occidentalis,Orthoptera,Ensifera,Stridulation
Antaxius bouvieri,Orthoptera,Ensifera,Stridulation
Antaxius chopardi,Orthoptera,Ensifera,Stridulation
Antaxius hispanicus,Orthoptera,Ensifera,Stridulation
Antaxius pedestris pedestris,Orthoptera,Ensifera,Stridulation
Antaxius sorrezensis,Orthoptera,Ensifera,Stridulation
Antaxius spinibrachius,Orthoptera,Ensifera,Stridulation
Arachnocephalus vestitus,Orthoptera,Ensifera,No
Arcyptera alzonai,Orthoptera,Caelifera,Stridulation
Arcyptera brevipennis vicheti,Orthoptera,Caelifera,Stridulation
Arcyptera fusca,Orthoptera,Caelifera,Stridulation
Arcyptera kheili,Orthoptera,Caelifera,Stridulation
Arcyptera microptera carpentieri,Orthoptera,Caelifera,Stridulation
Baratia sari,Orthoptera,Ensifera,Unknown
Barbitistes constrictus,Orthoptera,Ensifera,Stridulation
Barbitistes fischeri,Orthoptera,Ensifera,Stridulation
Barbitistes obtusus,Orthoptera,Ensifera,Stridulation
Barbitistes serricauda,Orthoptera,Ensifera,Stridulation
Bicolorana bicolor bicolor,Orthoptera,Ensifera,Stridulation
Bohemanella frigida,Orthoptera,Caelifera,Unknown
Bryodemella tuberculata tuberculata,Orthoptera,Caelifera,Wing rattle
Calephorus compressicornis,Orthoptera,Caelifera,Unknown
Callicrania ramburii,Orthoptera,Ensifera,Stridulation
Calliptamus barbarus barbarus,Orthoptera,Caelifera,Wing rattle
Calliptamus italicus italicus,Orthoptera,Caelifera,Wing rattle
Calliptamus siciliae,Orthoptera,Caelifera,Wing rattle
Calliptamus wattenwylianus,Orthoptera,Caelifera,Wing rattle
Celes variabilis variabilis,Orthoptera,Caelifera,Unknown
Chorthippus albomarginatus albomarginatus,Orthoptera,Caelifera,Stridulation
Chorthippus apricarius apricarius,Orthoptera,Caelifera,Stridulation
Chorthippus biguttulus biguttulus,Orthoptera,Caelifera,Stridulation
Chorthippus binotatus binotatus,Orthoptera,Caelifera,Stridulation
Chorthippus brunneus brunneus,Orthoptera,Caelifera,Stridulation
Chorthippus cialancensis,Orthoptera,Caelifera,Stridulation
Chorthippus corsicus corsicus,Orthoptera,Caelifera,Stridulation
Chorthippus corsicus pascuorum,Orthoptera,Caelifera,Stridulation
Chorthippus dorsatus dorsatus,Orthoptera,Caelifera,Stridulation
Chorthippus eisentrauti,Orthoptera,Caelifera,Stridulation
Chorthippus jacobsi,Orthoptera,Caelifera,Stridulation
Chorthippus jucundus,Orthoptera,Caelifera,Stridulation
Chorthippus jutlandica,Orthoptera,Caelifera,Stridulation
Chorthippus mollis ignifer,Orthoptera,Caelifera,Stridulation
Chorthippus mollis mollis,Orthoptera,Caelifera,Stridulation
Chorthippus pullus,Orthoptera,Caelifera,Stridulation
Chorthippus reissingeri,Orthoptera,Caelifera,Stridulation
Chorthippus sampeyrensis,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi algoaldensis,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi daimei,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi moralesi,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi saulcyi,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi vicdessossi,Orthoptera,Caelifera,Stridulation
Chorthippus vagans vagans,Orthoptera,Caelifera,Stridulation
Chrysochraon dispar dispar,Orthoptera,Caelifera,Stridulation
Cicada orni,Hemiptera,Cicadomorpha,Cymbalization
Cicada barbara,Hemiptera,Cicadomorpha,Cymbalization
Cicadatra atra,Hemiptera,Cicadomorpha,Cymbalization
